,text,anger,disgust,fear,joy,sadness,surprise
8,በጣም ከምንም በላይ ያማል ይሠቀጥጣል,0,0,0,0,1,0
13,ለትግራይ የሚቀርበው እርዳታ መቋረጡን ተከትሎ 1 ሺህ 400 ሰዎች በረሃብ መሞታቸው ተነገረ,0,0,0,0,1,0
15,ወይኔ ምን ኣይነት ጭካኔ ነው እንደዚ ኣይነት ኣሳዛኝ ታሪክ ህይወት ሰምቼ ኣላቅም እህቴ እግዚአብሔር እድሜና ጤና ይስጥህ ያለፈ ኩፉ ሂወትሽ በደስታ ይቀየር .ኣይዞህ .ያን ጨካን ደግሞ በግዛቢሄር ፍርዱን ያገኛል,0,0,0,0,1,0
16,ይህ ዓይነት ኣስጸያፊ ተግባር በኢትዮጵያ በተደጋጋጋሚ ይታያል ይህ የሚያሳይህ ደግሞ መንግስትን አለመኖሩ ነው ህግ አልባነት ነግሰዋል ይህ አውሬም አያደርገውም በጣም ያሳዝናል እናንተ ኢትዮጵያኖች በተለይ በየቲክቶኩ ለእውቅና ለጥቅም ብላቹ ስትንጫጩ የምትውሉት ስለዚህ ዓይነት ጉዳይ አንዲትም ቀን ስትናገር አልሰማንም እናንተ ሃይማኖታዊያን ነን የምትሉ እንደዛ,1,1,0,0,1,0
20,እየቀለድኩኝ መስሎሻላ። ስንቱን መከራ አሳልፈን ነው እዚህ የደረስነው።,0,0,0,0,1,0
23,ኣዎ ይህ አይነቱ ዘግናኝ ግፍ ለታሪክ ብቻ ኣቀመጥም እንዲጠየቁበትም እንሰንደዋለን,1,0,0,0,1,0
24,በጣም ያሳዝናል ታሪኩ ልብ ይስብራል,0,0,0,0,1,0
25,ቀንድ አውጣ ይህን እንዴት የአማራ መሪ አድርገው ቀጠሩት ያሳዝናል ህዝቡን እንዴት እንደሚንቁት,0,1,0,0,1,0
27,ወደማን ይጮሀል ከፈጣሪ ዉጪ ያማል ቅኔዉ ወዳጀዋ ምንም ልትገዛ ምንም ሰዉ ልትጨፈጪፍ ልትገል አካል ልታጎል ትችልአለህ ግን ዋ ላንተ መጨረሻ ፍራ መከላከያ የሰፈር ሚኒሻ ነዉ እስኪ ይንገሩኚ ምርኮኛ ጀኔናር,1,0,0,0,1,0
33,አርብ የፍቅር ቀን ጌታ ሆይ ስለ ሰው ልጆች ፍቅር ስትል በዕለተ አርብ በቆረስከው ስጋህ ባፈሰሰከው ደምህ ብለህ አቤቱ ማረን ይቅርም በለን,0,0,0,0,1,0
39,የስንት ሚሊዮኖች ሞት እና መፈናቀል ነው የሚያስተምራችሁ ? ጋሼ ረጋ ይበሉ ፣ በ21 ዘመን ሰው እንደ ቅጠል እ,1,0,0,0,1,0
45,በትግራይ በምግብ እጥረት 13 ህጻናት ሞተዋል- አይደር ሆስፒታል,0,0,0,0,1,0
46,ይህን ድራማ ባልጀምር ጥሩ ነበር እንደሚሞቱ አውቃለሁ ግን ማየት ጀምራለሁ,0,0,0,0,1,0
